Brand,Price,log_price,Mileage,log_mileage,EngineV,Year
Mercedes-Benz," ₹ 2,22,000.00 ",5.35,1,0,6.3,2016
Mercedes-Benz," ₹ 1,77,000.00 ",5.25,1,0,5.5,2016
Mercedes-Benz," ₹ 1,77,777.00 ",5.25,1,0,5.5,2016
Mercedes-Benz," ₹ 1,99,999.00 ",5.30,1,0,5.5,2016
Mercedes-Benz," ₹ 1,99,999.00 ",5.30,1,0,5.5,2016
Mercedes-Benz," ₹ 1,99,999.00 ",5.30,1,0,5.5,2016
Mercedes-Benz," ₹ 1,99,999.00 ",5.30,1,0,5.5,2016
Mercedes-Benz," ₹ 1,85,555.00 ",5.27,1,0,4.7,2016
Mercedes-Benz," ₹ 1,87,555.00 ",5.27,1,0,4.7,2016
Mercedes-Benz," ₹ 1,89,999.00 ",5.28,1,0,4.7,2016
Mercedes-Benz," ₹ 1,29,999.00 ",5.11,1,0,4.67,2016
Mercedes-Benz," ₹ 1,54,999.00 ",5.19,1,0,4.6,2016
Toyota," ₹ 99,999.00 ",5.00,1,0,4.5,2016
Toyota," ₹ 99,999.00 ",5.00,1,0,4.5,2016
Toyota," ₹ 99,999.00 ",5.00,1,0,4.5,2016
Toyota," ₹ 1,00,000.00 ",5.00,1,0,4.5,2016
Toyota," ₹ 1,02,999.00 ",5.01,1,0,4.5,2016
Toyota," ₹ 1,03,999.00 ",5.02,1,0,4.5,2016
Toyota," ₹ 1,03,999.00 ",5.02,1,0,4.5,2016
Toyota," ₹ 1,95,000.00 ",5.29,1,0,4.5,2016
Toyota," ₹ 1,95,000.00 ",5.29,1,0,4.5,2016
BMW," ₹ 1,39,000.00 ",5.14,1,0,4.4,2016
Mercedes-Benz," ₹ 1,24,000.00 ",5.09,1,0,4,2016
Mercedes-Benz," ₹ 1,09,000.00 ",5.04,1,0,3.5,2016
Volkswagen," ₹ 66,346.00 ",4.82,1,0,3,2016
Volkswagen," ₹ 67,622.55 ",4.83,1,0,3,2016
Volkswagen," ₹ 71,138.00 ",4.85,1,0,3,2016
Volkswagen," ₹ 72,000.00 ",4.86,1,0,3,2016
Audi," ₹ 80,999.00 ",4.91,1,0,3,2016
Audi," ₹ 81,500.00 ",4.91,1,0,3,2016
BMW," ₹ 86,999.00 ",4.94,1,0,3,2016
BMW," ₹ 86,999.00 ",4.94,1,0,3,2016
Audi," ₹ 92,222.00 ",4.96,1,0,3,2016
Mercedes-Benz," ₹ 99,000.00 ",5.00,1,0,3,2016
Mercedes-Benz," ₹ 99,000.00 ",5.00,1,0,3,2016
Mercedes-Benz," ₹ 99,999.00 ",5.00,1,0,3,2016
BMW," ₹ 99,999.00 ",5.00,1,0,3,2016
Mercedes-Benz," ₹ 1,03,333.00 ",5.01,1,0,3,2016
Mercedes-Benz," ₹ 1,07,777.00 ",5.03,1,0,3,2016
Mercedes-Benz," ₹ 1,07,999.00 ",5.03,1,0,3,2016
Mercedes-Benz," ₹ 1,09,999.00 ",5.04,1,0,3,2016
Mercedes-Benz," ₹ 1,10,000.00 ",5.04,1,0,3,2016
Mercedes-Benz," ₹ 1,11,999.00 ",5.05,1,0,3,2016
Mercedes-Benz," ₹ 1,11,999.00 ",5.05,1,0,3,2016
Mercedes-Benz," ₹ 1,14,999.00 ",5.06,1,0,3,2016
Mercedes-Benz," ₹ 1,24,000.00 ",5.09,1,0,3,2016
Mercedes-Benz," ₹ 1,24,999.00 ",5.10,1,0,3,2016
Mercedes-Benz," ₹ 1,38,000.00 ",5.14,1,0,3,2016
Mercedes-Benz," ₹ 1,59,999.00 ",5.20,1,0,3,2016
Mercedes-Benz," ₹ 1,73,333.00 ",5.24,1,0,3,2016
Mercedes-Benz," ₹ 99,999.00 ",5.00,1,0,2.99,2016
Mercedes-Benz," ₹ 1,14,999.00 ",5.06,1,0,2.99,2016
Audi," ₹ 81,999.00 ",4.91,1,0,2.98,2016
Mercedes-Benz," ₹ 1,05,999.00 ",5.03,1,0,2.98,2016
Mercedes-Benz," ₹ 1,07,999.00 ",5.03,1,0,2.98,2016
Mercedes-Benz," ₹ 1,09,999.00 ",5.04,1,0,2.98,2016
Mercedes-Benz," ₹ 1,09,999.00 ",5.04,1,0,2.98,2016
Toyota," ₹ 43,999.00 ",4.64,1,0,2.8,2016
Toyota," ₹ 25,749.75 ",4.41,1,0,2.5,2016
Toyota," ₹ 28,787.85 ",4.46,1,0,2.5,2016
Toyota," ₹ 41,900.00 ",4.62,1,0,2.5,2016
BMW," ₹ 65,000.00 ",4.81,1,0,2.5,2016
BMW," ₹ 69,999.00 ",4.85,1,0,2.5,2016
Mercedes-Benz," ₹ 97,555.00 ",4.99,1,0,2.5,2016
Mitsubishi," ₹ 33,000.00 ",4.52,1,0,2.4,2016
Mitsubishi," ₹ 36,000.00 ",4.56,1,0,2.4,2016
Toyota," ₹ 38,233.00 ",4.58,1,0,2.4,2016
Mitsubishi," ₹ 40,800.00 ",4.61,1,0,2.4,2016
Mitsubishi," ₹ 40,990.00 ",4.61,1,0,2.4,2016
Mitsubishi," ₹ 46,000.00 ",4.66,1,0,2.4,2016
Mercedes-Benz," ₹ 47,600.00 ",4.68,1,0,2.2,2016
